"est.beta","se","G","R"
0.924680896060711,1.39483826265677,4,616
3.25738494559252,0.694826932892725,5,491
1.59055842591792,1.0677443251782,6,407
0.767920255496752,1.814991152978,7,348
2.06544621880111,1.32410009430252,8,303
3.53995988202158,1.09390819557886,9,268
4.98051979001126,1.38837629792852,10,241
3.40902964554685,0.98815916880575,11,218
3.49368988693991,0.698392017590093,12,199
1.72575130982156,1.22035856143921,13,183
-0.136351935516763,1.14880258909039,14,169
0.379941666076968,1.00785991057497,15,157
2.64252012955845,0.977242140426125,16,147
3.87844537802631,1.19670047549317,17,138
1.70329985438395,0.718598277219803,18,129
1.97300341074479,0.810815159786075,19,122
2.5183932373033,0.525939074211033,20,116
3.10574747846455,0.672512372454089,21,110
3.35596119051116,0.778893195598063,22,104
2.30310203776921,0.700262003848113,23,99
1.94473985153157,0.695621362242054,24,95
2.77224026289502,0.796760391818184,25,91
3.74804008328657,0.599367840060941,26,87
3.17833343035441,0.614721953293487,27,83
3.06679489275267,0.819418004380148,28,80
2.73977856106993,0.991494270003471,29,77
2.63436940687761,0.68417015661571,30,74
3.39241816992516,0.660527832252422,31,71
3.29141708769796,0.69215601816065,32,69
2.3539350947846,0.677223623251139,33,66
3.39168230028813,0.613649790342853,34,64
2.22443817342537,0.706337535061212,35,62
3.22398055389693,0.703920707745561,36,60
3.23335434014284,0.718043947087234,37,58
2.58647230296474,0.52170431192713,38,56
2.35525839015839,0.607375012214537,39,55
3.26951746243891,0.778330356535828,40,53
2.59998460905046,0.593999318093478,41,51
3.50868997432127,0.605836540774867,42,50
2.86003635478241,0.803733284429315,43,49
3.89251430673527,0.584586974058652,44,47
4.08387249009883,0.559489130384787,45,46
3.26904400675227,0.614805857610784,46,45
3.3395757120316,0.520216720619809,47,44
2.53923297546573,0.542880232095024,48,43
2.54515873057171,0.496956503385433,49,42
3.77430132946082,0.585651202089355,50,41
3.42199974645152,0.450745568907463,51,40
2.61321656080387,0.594682362677121,52,39
3.27903996789482,0.550859118787221,53,38
2.06559719098424,0.513880700440398,54,37
2.35049028493688,0.518050124767434,55,36
3.68392989925632,0.543646069692688,56,35
2.60817566938441,0.496451855165302,57,34
2.33018595123038,0.515289887933415,58,34
3.00328851351464,0.449160261581806,59,33
3.30624239300885,0.46015343583247,60,32
3.49771399308237,0.472228940237945,61,31
2.68668283932815,0.482276065554734,62,31
2.29388994329232,0.514349000916389,63,30
2.1381782912688,0.476912052733435,64,30
3.96944246547793,0.500658468540148,65,29
2.70046264830674,0.507005282404878,66,28
2.65260151901747,0.487760335332524,67,28
2.9459700028468,0.503124799748318,68,27
2.44111913301991,0.452096609314882,69,27
2.74477664630337,0.479987291149725,70,26
2.9213049966103,0.511869446069958,71,26
3.40490482408892,0.476927397490787,72,25
3.11122544834352,0.431696369163753,73,25
3.06094237156755,0.446708147037211,74,24
2.62849366432853,0.46011177089375,75,24
3.65937716704942,0.418682083662219,76,23
2.73750101630667,0.393648511011929,77,23
2.5070872874731,0.43188562914085,78,23
2.82557681586805,0.426570894754079,79,22
2.97739170404587,0.403139243328813,80,22
3.28748758781215,0.339290258461159,81,21
2.2094639277035,0.42788193359438,82,21
3.11458486084874,0.447173325765127,83,21
3.0764402419182,0.420185159235812,84,20
3.65427341657301,0.433837751496906,85,20
2.93039136342279,0.453235807311613,86,20
3.11553344193257,0.437099028634597,87,19
2.61104113850153,0.467614499525487,88,19
3.29244327527534,0.442979242384862,89,19
2.48658961984388,0.402042902924349,90,18
2.95488964716239,0.397864775732821,91,18
2.63276928842797,0.37738414495707,92,18
2.88018339966177,0.407936975926877,93,17
3.08139643802577,0.363594590071623,94,17
3.54948163767623,0.375193294476543,95,17
2.24997583740502,0.294975917996917,96,17
2.9612974049926,0.398794508363674,97,16
3.1506053677211,0.416824252694155,98,16
2.46422937012141,0.43085564728191,99,16
2.53445144110056,0.407487453243201,100,16
2.76949014011659,0.362719194597786,101,15
3.08302531629739,0.431403747404043,102,15
3.19877228956609,0.374145432402225,103,15
3.24580766189524,0.383056760696647,104,15
2.77148322771595,0.386518986287575,105,14
3.32621806533181,0.377528496965515,106,14
3.06000438872943,0.335993959575873,107,14
2.96466745823431,0.373657885340496,108,14
3.49517197189961,0.339523391048282,109,13
3.65504490753881,0.410907656878524,110,13
3.87955527304947,0.40475265561139,111,13
3.15597584221638,0.372935062344822,112,13
3.33749275969815,0.340639975417213,113,13
3.06392408211777,0.422213626698107,114,12
3.37957451602212,0.375939176957528,115,12
3.411735402226,0.389285704133794,116,12
2.91483259191298,0.378644000052327,117,12
2.92562186457027,0.35385601783211,118,12
3.7030116012224,0.367851007248169,119,12
3.18053269929141,0.378352475804984,120,11
2.9376372566704,0.341848288400671,121,11
3.14572755138582,0.337159939891883,122,11
3.45515316079687,0.353643479307597,123,11
3.52634327398848,0.366397183971761,124,11
2.90658482479597,0.340989198397818,125,11
3.18061477701768,0.332603869482199,126,10
3.25919783531255,0.409656973174559,127,10
2.73211375999565,0.329595585840888,128,10
3.47078427995564,0.37371440901511,129,10
3.06933088251295,0.321795106521454,130,10
2.53518032157164,0.307931429231739,131,10
2.75865256774221,0.360735261469588,132,9
2.59462869099168,0.36540317072496,133,9
3.14707081488077,0.338398572753868,134,9
3.33573893942294,0.361001952187398,135,9
2.53702655758152,0.38242854561952,136,9
2.95030187773519,0.357639131676392,137,9
3.32082219830696,0.325354573791484,138,9
3.48664308024722,0.362193479710644,139,8
2.70934177633197,0.357808945464143,140,8
2.93702452375904,0.341383456636335,141,8
2.92318600584768,0.334163353020732,142,8
2.81825927716593,0.300474533395497,143,8
2.66051159301919,0.344461799446579,144,8
3.36256179831221,0.363783931611896,145,8
2.49803656345361,0.321285581115,146,8
2.48764313287041,0.348844698684835,147,8
2.33701480976583,0.318766080742397,148,7
2.56478086152938,0.34859666418946,149,7
2.35819426789955,0.306358074696832,150,7
3.31080337571842,0.336142662495808,151,7
2.8973231157118,0.32806944430499,152,7
3.28474064197277,0.317564941547713,153,7
3.19706944214126,0.321487134110008,154,7
