"est.beta","se","G","R"
4.30382950679959,0.424556849437392,4,124
4.05878282909674,0.215595572719479,5,99
2.52169661005711,0.511830103718234,6,82
1.24048963927502,0.357303489861448,7,70
1.69736117759512,0.756189451396554,8,61
1.71396268480748,0.5274215188732,9,54
3.17212498631788,0.385359105863612,10,49
2.79335715762743,0.522959669392485,11,44
2.53453914728209,0.460820168174003,12,40
3.09700534231771,0.758702521640858,13,37
3.44536669321803,0.64893992915507,14,34
2.23345394146876,0.440022400400984,15,32
3.52991925700432,0.352693405941178,16,30
2.83674982065095,0.349272851064765,17,28
2.78526121036326,0.515857043890957,18,26
2.86614818883502,0.499189930293316,19,25
2.31749002548126,0.500194272032838,20,24
2.85172016535575,0.513737483636994,21,22
3.43552104776904,0.479083436164892,22,21
3.63421899159492,0.306560026591362,23,20
3.24185660927305,0.434035856140936,24,19
3.02931800600227,0.395461150199834,25,19
2.63471843927299,0.353545485918935,26,18
2.65056036261015,0.397538597806855,27,17
3.32494765650956,0.43194221130391,28,16
3.50679879673184,0.372383248713134,29,16
2.98247940297279,0.25204638188117,30,15
2.77406656765357,0.356328590552391,31,15
3.53357157051422,0.336957824472932,32,14
2.94387252098459,0.320852453269461,33,14
2.79458247776,0.321956488358225,34,13
2.87830977991886,0.299161911463851,35,13
3.02152593219279,0.380506200974903,36,12
3.51004960789517,0.298701781582419,37,12
2.46945362402893,0.256950624887349,38,12
3.07411511234805,0.278312778088511,39,11
2.96301790278411,0.255999423639569,40,11
3.32058319337244,0.309865542643949,41,11
2.69775741825391,0.308239944383171,42,10
3.05467504013681,0.311029968580957,43,10
2.77974259499521,0.302782721975618,44,10
3.37096165606823,0.262052936615965,45,10
2.71825578332888,0.304835473152955,46,9
3.23222639788628,0.281222443331798,47,9
2.99299984541741,0.334385737178451,48,9
2.68566012451357,0.298912866329349,49,9
3.40270262660854,0.270677897589311,50,9
2.86975133611306,0.235089484104358,51,8
2.72961600406416,0.257019733269434,52,8
2.32507989875694,0.2797922782095,53,8
2.69418899399118,0.235576397036631,54,8
3.37117996841974,0.274785196466656,55,8
3.31304192243499,0.247990395625339,56,7
3.15368235284435,0.241306528976991,57,7
3.04621103405945,0.243293447731182,58,7
3.00107645071684,0.261005594561458,59,7
3.02572108165537,0.238757793751212,60,7
2.86769195314627,0.181994933960537,61,7
2.62647115654498,0.249317838885035,62,7
3.20415353613114,0.227056165916354,63,6
2.73397314907613,0.216680568678787,64,6
3.54871462442611,0.24619939071891,65,6
3.18710515315995,0.232982920498511,66,6
3.19493620662986,0.233813606216528,67,6
3.26625596179792,0.251957754478752,68,6
3.1581169699822,0.242024016094956,69,6
2.86139741455123,0.197999015935782,70,6
2.87715999760825,0.194658112867802,71,6
2.9059299730697,0.226427779823643,72,5
2.72641346366615,0.200254291181477,73,5
2.87656527575145,0.235537498647867,74,5
2.83179561826982,0.280191225097354,75,5
3.13672466514182,0.223244402989509,76,5
3.27136481933342,0.234584373777202,77,5
3.45258900562852,0.237880220904262,78,5
3.27557771814029,0.225824294455543,79,5
2.90080291438351,0.214649272316895,80,5
3.26172302423534,0.253601107656612,81,5
2.99181711880567,0.214433613845107,82,5
3.06398824777909,0.222579008003278,83,5
2.9836342076577,0.201972418085663,84,4
2.89321316181697,0.220238296156832,85,4
3.243171192611,0.223986501483032,86,4
2.74743834598967,0.212985099815072,87,4
2.83443274753584,0.215218122894611,88,4
2.7714453211756,0.203832322368945,89,4
2.87914199724848,0.21544675766735,90,4
3.33670692387163,0.229088760077857,91,4
3.24904128260946,0.207022282356025,92,4
2.71217898141445,0.199032881929765,93,4
3.13509690268329,0.179312620892289,94,4
3.24833938338026,0.222934109830649,95,4
3.18868051406643,0.212892198647494,96,4
2.77732131014065,0.187352089439916,97,4
2.97824283387419,0.189480356083304,98,4
3.04482659947398,0.214774507676508,99,4
2.69558723791647,0.18762293375668,100,4
2.76228493032692,0.196799319656864,101,3
3.04321842411828,0.204424930493876,102,3
3.28017684173239,0.21798073329415,103,3
2.79259218901179,0.200895141805101,104,3
2.76911018480922,0.200274579000179,105,3
2.8323461204513,0.190726586474057,106,3
2.85999325738695,0.216280520570339,107,3
2.79877025879953,0.196444160193284,108,3
2.83832115113625,0.193572622320004,109,3
3.14244994305223,0.211516687211373,110,3
3.23016651986555,0.209503098202567,111,3
3.29449306842908,0.17266716957489,112,3
3.18836465750552,0.184499250052838,113,3
3.06730884883799,0.170929699561109,114,3
3.24080527390006,0.175163212557824,115,3
3.03165018165686,0.199466320341588,116,3
2.98756222601224,0.185768236042812,117,3
2.77681937585204,0.166951021725008,118,3
2.94093692325707,0.167482669663645,119,3
2.75692617471616,0.186665342503291,120,3
3.20560976773755,0.1822650140637,121,3
2.99716323907319,0.201107169440414,122,3
3.23702362771436,0.188601250741492,123,3
3.08142890401201,0.166934382529662,124,3
2.95975478811485,0.166249937647032,125,3
2.94719878663701,0.173938391771358,126,2
3.20547956781095,0.172926905919925,127,2
2.9222475372087,0.160227398452694,128,2
3.13119498336964,0.163300080717589,129,2
3.18025100204086,0.160953114878627,130,2
3.13896470127998,0.176786215272206,131,2
3.13467823599206,0.160141526787888,132,2
3.16173867811632,0.167241212334784,133,2
3.33936178569998,0.162724150426645,134,2
2.92811520100296,0.184176577568921,135,2
3.23427361276341,0.163087143189196,136,2
3.09530361926294,0.163451487633021,137,2
3.15067383918036,0.160322859676823,138,2
2.8226316261504,0.174834968105854,139,2
2.84649171502414,0.182197708292953,140,2
2.76064102328278,0.161558651851832,141,2
3.03642345801744,0.159397628759298,142,2
3.0701102318016,0.171151190770007,143,2
2.96846293595082,0.169109868932715,144,2
3.25900930510914,0.166279323588387,145,2
2.80851177326898,0.158063042450795,146,2
3.09226678260886,0.175552257413492,147,2
2.96926888878279,0.160778117033585,148,2
3.0717960838743,0.165079814649276,149,2
3.01363236058396,0.175824540612043,150,2
2.6524812172377,0.157696052899469,151,2
2.64715558259329,0.158263053542547,152,2
2.73993276832624,0.133164027752386,153,2
3.09302258655544,0.150551804056922,154,2
2.79386326407302,0.145361124285471,155,2
2.84498941321066,0.157322207353725,156,2
3.01776033008741,0.149133678282828,157,2
3.20127015330313,0.152393262055089,158,2
2.7416926069142,0.170045847677731,159,2
3.40354644430687,0.17087492490852,160,2
3.16083612248382,0.164431165321271,161,2
3.13637345857703,0.169667088771624,162,2
2.84615149050975,0.157659378596666,163,2
3.08675892146924,0.156623924567493,164,2
2.69044947176825,0.159897609400149,165,2
2.98045175026332,0.151807821533412,166,2
2.63910083047127,0.8433815811054,4,124
3.88240200740355,1.08655592982211,5,99
4.03543478553807,0.180125177300658,6,82
2.79699120838514,0.432867164870409,7,70
3.02598885361464,0.793162894576626,8,61
3.21840563728029,0.57247170933318,9,54
3.20043554630968,0.422925939805862,10,49
2.1740073153829,0.563729686387394,11,44
2.94405081375232,0.375336516726265,12,40
3.73675999129697,0.527355491745771,13,37
3.11148667840959,0.635527360813522,14,34
2.8467968673791,0.427220658637809,15,32
2.87759286991103,0.597074115138193,16,30
2.75855043581573,0.383240961700143,17,28
2.37860042762209,0.481616707475396,18,26
3.29047391167714,0.369073922744782,19,25
3.21377884552202,0.3401533419614,20,24
3.02128798114487,0.38934297713287,21,22
2.8776412449924,0.457797491508302,22,21
2.78710434491492,0.315034295963502,23,20
3.13801230006511,0.347822516511454,24,19
2.56704327676659,0.335350552167063,25,19
3.65280936343128,0.368576093380577,26,18
2.35868581824557,0.372615876941469,27,17
3.4795687388344,0.342349522594483,28,16
2.61648266018724,0.397298723400738,29,16
3.18384232880676,0.379197977995412,30,15
2.89203610362351,0.35316426652894,31,15
3.03984227811145,0.33534312306203,32,14
3.23543254042219,0.305975340648095,33,14
3.09356325318501,0.262270963929582,34,13
2.90542297194404,0.379585096993449,35,13
3.24631050168328,0.299930665542245,36,12
2.41244066373267,0.245528329184988,37,12
3.01230693912592,0.317817435942043,38,12
3.3945710566276,0.257695376618759,39,11
3.25209182471272,0.253378718897955,40,11
2.98611725732778,0.266326193978305,41,11
3.11351623959544,0.288064843096242,42,10
3.3580447652473,0.275386976096849,43,10
3.37425243732132,0.336427097267342,44,10
3.43048867456852,0.274064871230257,45,10
2.7242046341735,0.249197505690437,46,9
2.71025184690667,0.261544484322867,47,9
3.19071333503064,0.320342118914778,48,9
2.7932780153398,0.285939004519262,49,9
3.19772793396211,0.295102765336505,50,9
2.82561632795149,0.282114401943098,51,8
2.51607824765271,0.260583469125015,52,8
3.14077132193982,0.259219508981172,53,8
3.10324774123629,0.249477570195158,54,8
3.21437603274757,0.318885288526651,55,8
2.50972039460086,0.243406191893246,56,7
2.64631917514377,0.290919494838236,57,7
2.62628312769805,0.279892935177687,58,7
3.12246846532358,0.25445819864631,59,7
2.99568799832804,0.248052318805974,60,7
2.8187095664554,0.22819125197019,61,7
3.00550314641807,0.207042687293632,62,7
3.17620026298486,0.237781582405579,63,6
2.87459229341,0.210246725156233,64,6
2.97457769037138,0.241364529504206,65,6
3.08286713876959,0.288452243860599,66,6
3.29052652573062,0.235756325107742,67,6
2.98534586034288,0.233399901001397,68,6
3.28143072115968,0.268284159271031,69,6
3.34223945466943,0.224287090292393,70,6
3.0124688349283,0.254817040878404,71,6
2.91754975588218,0.236024527911743,72,5
2.93007613550096,0.246510912451332,73,5
2.66704194768481,0.213069047437681,74,5
2.84200374103954,0.248266445995579,75,5
2.96869088750742,0.228305240550541,76,5
3.08441713353886,0.245079445376889,77,5
3.16375355689159,0.200591614202598,78,5
2.75097417047156,0.207348017646569,79,5
2.76476342533635,0.231390408299777,80,5
2.89339738936943,0.206933096976616,81,5
2.70125255771723,0.210417458357054,82,5
3.221430745858,0.222321675192126,83,5
3.32255849805599,0.229581421058217,84,4
2.58757088812352,0.19946428128053,85,4
2.76886225963674,0.189893384397442,86,4
3.31220092099136,0.198766495384783,87,4
3.05713484063873,0.209248108669828,88,4
2.99080348371073,0.230291167005193,89,4
3.01106674283047,0.198057090784959,90,4
3.27442836338204,0.217748921439404,91,4
2.58658365042218,0.196321234228066,92,4
