"est.beta","se","G","R"
-0.954798221677653,1.25447936824776,4,124
2.70895218720017,1.20448647322633,5,99
1.22227193572511,2.68385720317614,6,82
2.69704288509479,0.943485650557497,7,70
1.67624084206805,0.472626620943631,8,61
3.27732896241443,1.07978564291304,9,54
4.6956880283538,1.6085591044757,10,49
3.39224736387874,0.879464518394956,11,44
1.95983503945328,0.970460144299949,12,40
2.22118326164242,1.05545060103455,13,37
1.8206839544915,0.760507144885822,14,34
2.62374948045629,0.750056766177378,15,32
1.43318998143828,1.03867509023358,16,30
2.51354651743886,0.732864903042997,17,28
1.2019299632019,0.817949956592105,18,26
4.83092752514756,1.12515901325851,19,25
2.54314531400962,0.79458436723223,20,24
4.04886250051543,1.12877907499137,21,22
2.2268500672433,0.750935947042604,22,21
3.24894870872713,0.658764104878695,23,20
0.920076717272471,0.77964427118167,24,19
2.44879126419999,0.825754146945811,25,19
2.31646899626445,0.929416991182506,26,18
2.26468757493978,0.790090147702347,27,17
2.42815456028823,1.07514869049398,28,16
1.87761524738244,0.844545370306659,29,16
3.32917507746267,0.974375157181145,30,15
3.30959336448298,0.753671202869046,31,15
3.43649177002168,0.799408606858302,32,14
2.31707310300458,0.696797786725491,33,14
2.54960443257267,0.710491724148505,34,13
2.73804212477019,0.699079052072976,35,13
3.35187335922304,0.714139784471973,36,12
2.38648471126075,0.59201320215439,37,12
2.99232277981041,0.582885661904504,38,12
4.00222153682674,0.663332921424088,39,11
3.04260579442795,0.631011590642715,40,11
3.2792638726037,0.586553954251988,41,11
3.64429019698355,0.718284642172683,42,10
2.61879319418347,0.587916498935843,43,10
2.53880798866035,0.603530248686913,44,10
2.71190204024355,0.556395688340843,45,10
3.41403890769545,0.566922495168238,46,9
3.70369426906361,0.591452204230182,47,9
3.66028219449847,0.5632219380868,48,9
3.73408457450357,0.477216951119133,49,9
3.21549036387088,0.488037566316721,50,9
3.36578418866573,0.542839109540027,51,8
3.03434424748539,0.513047974172614,52,8
2.48317334531387,0.625458666809403,53,8
2.92988456381787,0.534492119048497,54,8
3.09975306049331,0.604315561154446,55,8
2.56219808011008,0.443036981586302,56,7
2.39625119311984,0.551448914671919,57,7
2.97376010033107,0.539425197038525,58,7
2.220167490861,0.577983838542575,59,7
2.84348073772522,0.534422737817625,60,7
3.14074587802351,0.485757146489296,61,7
3.24306995774024,0.473863005371757,62,7
2.75429473700673,0.48014977084663,63,6
2.44054772638855,0.539195301596103,64,6
2.26658965495154,0.495562438637683,65,6
3.14006928966064,0.537272079507349,66,6
3.10490612664407,0.515960014837662,67,6
3.75850049506046,0.537688417881651,68,6
2.72618292689455,0.497193407578087,69,6
2.98494931193073,0.518339759694856,70,6
3.07250618685488,0.456894305938582,71,6
3.58833673939498,0.479387481279082,72,5
3.70887704546806,0.508034020160049,73,5
2.84803835731664,0.486423559835331,74,5
3.40847462275894,0.446064363900482,75,5
2.45384175846703,0.478637757618551,76,5
2.96713006959664,0.456771042731588,77,5
3.04644934303715,0.423047141344514,78,5
2.73769191168273,0.408660962359683,79,5
2.17517672220368,0.405559162022283,80,5
2.83765621376588,0.410027003019045,81,5
2.53584472905553,0.423741167374319,82,5
3.83879828573804,0.480659231010247,83,5
3.77226220085747,0.429165737904702,84,4
2.44161956202555,0.433300319776754,85,4
3.46048012624877,0.466563416113317,86,4
3.45814405711124,0.427642613899139,87,4
3.67662228968387,0.421696723902941,88,4
3.21923817375574,0.391073148722571,89,4
3.04889827017389,0.393804326197303,90,4
3.2297092194768,0.466187426414574,91,4
2.07857335441836,0.43386544271469,92,4
3.10424874118513,0.431389572931411,93,4
2.3615585752217,0.413866310086091,94,4
3.03700439263868,0.395056803505141,95,4
2.59874523931803,0.46633665867433,96,4
2.40008152766741,0.431927935200985,97,4
2.49200684420048,0.412442645684824,98,4
2.8141763419164,0.449313095927276,99,4
3.95975293907487,0.388804549702925,100,4
2.80468187371941,0.388929779240072,101,3
3.5679116886998,0.458532781387776,102,3
2.73898208754484,0.402332761465177,103,3
3.67000998043321,0.378298399947725,104,3
2.8303712914095,0.390054418213662,105,3
2.53390365743019,0.412928226584358,106,3
2.57822500187639,0.372124073172158,107,3
2.66042240992337,0.433166186631469,108,3
2.7636854765814,0.411383035129841,109,3
2.41864313079161,0.427458291183631,110,3
2.34766269689887,0.379661829311049,111,3
2.89043667253942,0.388525060742485,112,3
3.27119011179832,0.368463844682694,113,3
3.22797236437714,0.41514564787523,114,3
2.94295346039947,0.34384684525584,115,3
2.7224416509291,0.402508499741834,116,3
2.53097807537478,0.392188568843135,117,3
3.2722395317798,0.365758057826996,118,3
2.86718919422468,0.397931509225895,119,3
