"est.beta","se","G","R"
1.43863068907973,2.62001113098969,4,82
2.85435038398816,1.28076564151745,5,65
5.59317852708991,0.677257737805412,6,54
5.01548273329255,1.2059147612728,7,46
3.47110387842637,0.966282222910288,8,40
3.21697613678371,1.33742380773274,9,36
4.16525931167213,0.875270028580311,10,32
3.81558631311445,1.50466210066268,11,29
1.00627458627899,1.13486006436692,12,26
4.6471271804341,1.16309798490623,13,24
4.52514185001308,1.42009401879437,14,22
1.39760351804936,1.18467759954376,15,21
2.87912736613601,1.38763557500306,16,19
4.50310839667592,0.951828768449322,17,18
3.71949806214357,1.04345083734862,18,17
2.81195411477338,0.854839507902137,19,16
2.02364468794617,0.767394005690901,20,15
2.93811560269421,0.659757173009366,21,14
2.97208602078761,0.886017475800105,22,14
2.7784805883468,1.04853237088515,23,13
2.79099767525714,0.865898084373628,24,12
2.76180724007975,0.452681037096314,25,12
3.29199928950543,0.831089218104632,26,11
3.08155752213498,0.861863691938236,27,11
2.90104822421703,0.809238280966894,28,10
2.55910396747795,0.686615233228241,29,10
3.73139925774541,0.813437584075039,30,10
2.46740583163471,0.548418885497638,31,9
2.61606469127536,0.648958389216786,32,9
3.39845471228442,0.901523768961594,33,9
2.54345830667723,0.627923147337709,34,8
2.59842108072298,0.600402359042945,35,8
2.8734297048093,0.604644170439973,36,8
2.57668691720664,0.633758944608068,37,8
3.79825148133416,0.552335503761726,38,7
3.3515722851487,0.602862974703171,39,7
3.98056483361557,0.591675937905084,40,7
2.53629213773297,0.615011442189473,41,7
3.03928165872878,0.612603523449151,42,6
3.16303088308677,0.631630869745006,43,6
3.67455698524882,0.614973601728182,44,6
3.36545706025052,0.589764626385879,45,6
2.90907192086632,0.517013341681622,46,6
3.6330527795538,0.520459545115247,47,6
2.75277796709198,0.509166481004794,48,5
1.88354224131071,0.514110249936655,49,5
2.96357652032296,0.652383827331129,50,5
2.72409826279975,0.55735138439506,51,5
3.59911426166441,0.587408526766281,52,5
2.43482965602822,0.554171163565442,53,5
2.66660263177182,0.492198164678782,54,5
4.11922966916803,0.539128405969404,55,5
3.49848730332315,0.57721231477309,56,4
2.24528854948951,0.563531752519639,57,4
2.90849024331537,0.538335045755517,58,4
